beginiiii;begini
beliin;membelikan
keq;kek
sygkuu;sayangku
baju'a;bajunya
gara'';gara-gara
pokok'a;pokoknya
bentarr;bentar
kuyy;yuk
dureen;duren
ajibb;ajib
mahall;mahal
niiihh;nih
ubur2;ubur-ubur
imuuttt;imut
imuttzz;imut
nha;nya
asliii;asli
konten2;konten-konten
daaaah;deh
asliiii;asli
cantiknnnnyaaaaaaa;cantiknya
ngelihatnya;melihatnya
ibu2;ibu-ibu
sexxi;seksi
bulet;bulat
ngocok;mengocok
ikutin;mengikuti
yaahhh;ya
kencqng;kencang
kra;kira
diginikan;dibeginikan
"coret""";coret-coret
gambarin;gambarkan
digambarin;digambarkan
klen;kalian
bangke;bangkai
bedanyaaa;bedanya
pgin;pengin
krudungan;kerudungan
maksutku;maksudku
jd'y;jadinya
manisnyaaaa;manisnya
thun;tahun
ngaco;mengaco
ngomen;mengomentari
kaaakk;kak
tenggah;tengah
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk;apik
kocakkkkkkkkkkkkkk;kocak
ksukaanmuuu;kesukaanmu
bagiii;bagi
pi;tapi
penasarannnn;penasaran
gilakkkkkk;gila
nontoonnn;menonton
cepet2;cepat-cepat
kepingin;pengin
nontonnnn;menonton
deeek;dek
ntappp;mantap
deg2an;deg-degan
cyiiin;cinta
kureeeen;keren
muantaap;mantap
nontonx;menontonnya
bli;beli
nraktir;mentraktir
sbnyak;sebanyak
penasaraaann;penasaran
nontonya;menontonnya
peen;pengin
gga;enggak
ceritax;ceritanya
yoooiii;yoi
daah;deh
tauuuuu;tau
sabarrrrr;sabar
kqmu;kamu
banggain;banggakan
pengan;pengin
ngadain;mengadakan
sendeng;senang
simpen;simpan
gakk;enggak
bagiin;bagikan
nanggepin;menanggapi
kapn;kapan
kirimin;mengirimi
senengin;senangi
asikkk;asik
ampunnnn;ampun
teruzzz;terus
mantabb;mantab
jendess;janda
sichh;sih
namnya;namanya
geh;gih
aduuhhh;aduh
silauuu;silau
njiirr;anjir
kesinii;kesini
dstu;disitu
wiiiihhhh;wih
samoga;semoga
kereennn;keren
nyangkaa;menyangka
hasilnyaaa;hasilnya
dahhhh;dah
bisaa;bisa
jugaakk;juga
lhoo;loh
donx;dong
gthu;begitu
maauuu;mau
pacarrr;pacar
idamann;idaman
naturalllll;natural
berntung;beruntung
jln2;jalan-jalan
romntis;romantis
ulan;ulang
diksi;dikasih
keciill;kecil
ughaa;juga
"tante""";tante-tante
abeees;habis
adain;mengadakan
bosen2;bosan-bosan
sempurnaaaaa;sempurna
kece2;kece-kece
badaaiii;badai
beneraan;benaran
kuatttt;kuat
cantiiiiiiik;cantik
bae2;baik-baik
catiiiiik;cantik
jaman2nya;jaman-jamannya
"pasien""nya";pasien-pasiennya
keeeerrrreeeennnnnnnnn;keren
choker2;choker-choker
hadirr;hadir
jelashh;jelas
sekali2;sekali-kali
hadirrr;hadir
hidupppp;hidup
diliatnya;dilihatnya
abis2;habis-habis
para2;parah-parah
allahhhhhhh;allah
gemesnya;gemasnya
tbuh;tubuh
diputusin;diputuskan
repot2;repot-repot
oles2;oles-oles
dptkan;dapatkan
ninggiin;meninggikan
ledekin;ledeki
kira2;kira-kira
pas2an;pas-pasan
balesin;membalas
ciapa;siapa
terharuuu;terharu
sumpahh;sumpah
alamii;alami
ckrng;sekarang
imut2;imut-imut
yahbh;ya
neko2;neko-neko
sktika;seketika
lutu;lucu
massss;mas
kesiniii;kesini
"jalan""nya";jalan-jalannya
masyaallahhh;masyaallah
ksni;kesini
begok;bego
bawak;bawa
pgi;pagi
keeeeeren;keren
baguusss;bagus
nahannnn;tahan
bagaatt;banget
gayannxa;gayanya
kereeeen;keren
ngekeh;kekeh
xlian;kalian
b3;bertiga
nyebelin;menyebalkan
pait;pahit
koplakkk;koplak
yachhh;ya
ngelawak;melawak
nyolotinnnn;menyolot
beratttttttt;berat
hijaabbb;hijab
sekalii;sekali
smnagatin;menyemangati
kanapa;kenapa
banhet;banget
bgttttttt;banget
blng;bilang
mngasi;mengasih
kmbang;kembang
pg;pagi
blakon;berlakon
nmpk;nampak
bngtzt;banget
lucukkkkk;lucu
ciusss;serius
palinf;paling
fav;favorit
maak;mak
ngakaaaakkk;mengakak
gokill;gila
kocakkkkkk;kocak
ngekek;mengekek
capee;cape
pegangin;memegang
nyender;menyandar
peleotin;meleot
gda;enggak ada
termurahhhh;termurah
graaatiiiis;gratis
nyatakan;menyatakan
meriahh;meriah
cantikkkm;cantik
mantabs;mantab
yuppss;ya
onoh;sono
staf2nya;staf-stafnya
begete;banget
manteppp;mantap
anakny;anaknya
ynk;sayang
"hati""";hati-hati
"jangan""";jangan-jangan
cr;cara
ckp;cukup
ms;masih
haragain;menghargai
nyakitin;menyakiti
ht;hati
sbaiknya;sebaiknya
mngerti;mengerti
blajar;belajar
fakta2;fakta-fakta
slama;selama
ckup;cukup
nilai2;nilai-nilai
buka2;buka-buka
nyinyirin;nyinyir
nyerang;menyerang
ngomomg;mengomong
kbetulan;kebetulan
sbelum;sebelum
ngamatin;mengamati
ngintip;mengintip
ngintilin;mengintil
nyambet;menyambat
krmh;ke rumah
bo'ong;bohong
eloo;lo
apa2nya;apa-apanya
goblokkk;goblok
sesatt;sesat
ibliss;iblis
kbiasaan;kebiasaan
tdr;tidur
sbuah;sebuah
tdnya;tadinya
stelah;setelah
branjak;beranjak
ank2;anak-anak
masyarakay;masyarakat
menegerti;mengerti
hdpnya;hidupnya
sok2;sok-sok
kakkkk;kak
slamet;selamat
ngcpin;mengucapkan
woowwww;wow
iaa;ya
kdg;kadang
kebagi;terbagi
nerusin;meneruskan
univ;universitas
tetapppp;tetap
jakety;jaketnya
pusingggg;pusing
ihhhh;ih
maho;manusia homo
gantng;ganteng
pucing;pusing
alak;kepala
hilangv;hilang
bungggg;bung
bangg;bang
gapap;enggak apa-apa
gokiiill;gila
busedh;buset
gokilnya;gilanya
keceee;kece
gilaa;gila
ahhhh;ah
duuhhh;duh
amiiiiinnnnn;amin
tullus;tulus
pluk;peluk
durhaka2;durhaka-durhaka
kpada;kepada
"seburuk""";seburuk-buruk
ktaa;kita
yup;ya
tetaplaah;tetaplah
oprasi;operasi
gya;gaya
ksenangan;kesenangan
ddpt;didapat
jwab;jawab
mmbodohkan;membodohkan
orlaen;orang lain
malem;malam
aplikasiin;mengaplikasikan
berangat;berangkat
praktekin;mempraktikkan
kate;kata
cabe2;cabe-cabe
prjuangan;perjuangan
stimpal;setimpal
kmewahan;kemewahan
ddpat;didapat
omdo;omong doang
za;saja
mkanya;makanya
bhagia;bahagia
korek2;korek-korek
udahh;sudah
sasama;sesama
cabe2an;cabe-cabean
terong2an;terong-terongan
seklian;sekalian
ngurusan;mengurusi
campurin;mencampuri
emnknya;memangnya
py;punya
kndung;kandung
mrangkul;merangkul
wlo;walau
lh;lah
manusiy;manusia
tx;tak
teringt;teringat
trmsuk;termasuk
pilihnmu;pilihanmu
swmntara;sementara
suaminy;suaminya
jadulnya;jaman dulunya
mantaff;mantap
ngata2in;mengata-ngatai
bagaimna;bagaimana
mulusssss;mulus
kpleset;kepleset
yawlah;ya allah
kepeleset;kepleset
kayanye;kayanya
amiinnnn;amin
komen2an;komen-komenan
wewww;wow
dumsss;dong
keq;kayak
perbaikin;memperbaiki
permasalhkan;permasalahkan
betul2;betul-betul
jauhin;jauhi
adiik;adik
"besar""";besar-besar
ddlm;di dalam
dkuburnya;dikuburnya
fi;di
rata2;rata-rata
critamu;ceritamu
bres;beres
cmkn;camkan
donks;dong
"membanding""";membanding-banding
mengperbolehkan;memperbolehkan
ngri;negeri
"dingin""";dingin-dingin
dibangga'in;dibangga-banggakan
ngebolehin;membolehkan
"jelek""in";menjelek-jelekkan
gausa;enggak usah
maksain;memaksakan
smog;semoga
mnerima;menerima
baikxa;baiknya
aaamin;amin
amienn;amien
sekangen2;sekangen-kangen
jln;jalan
amiiiiiiiiiinnnnnnn;amin
nolongin;menolong
amiiiiiiiiiiin;amin
seluru;seluruh
klow;kalau
tebir;ribet
doangam;doang
"tebir""";ribet-ribet
amad;amat
mkst;maksud
wong2;wong-wong
lau;kau
bangets;banget
dwh;deh
bante;bantai
komenannya;komentarnya
hadapin;menghadapi
dengarin;mendengarkan
cock;cocok
widihh;waduh
temen-temen;teman-teman
stu;satu
syratnya;syaratnya
shat;sehat
burem;buram
dngan;dengan
nunggu;menunggu
kancang;kencang
mansyoallah;masyaallah
canttttikkk;cantik
lkuin;lakukan
langgenh;langgeng
foto2nya;foto-fotonya
tanggung2;tanggung-tanggung
salluutt;salut
pdng;padang
syantik;cantik
warbiyasah;luar biasa
keedaannya;keadaannya
saya2;saya-saya
tunggu2;tunggu-tunggu
sekrng;sekarang
spertinya;sepertinya
mrah;marah
gra2;gara-gara
sngaja;sengaja
udah2;sudah-sudah
ungkit2;ungkit-ungkit
curhat2;curhat-curhat
mata'y;matanya
ayoooo;ayo
buruannn;buruan
perubut;perebut
sumai;suami
tk;tak
urusin;mengurusi
sekarng;sekarang
mmbela;membela
mslhnya;masalahnya
llki;lelaki
dluar;diluar
sna;sana
dya;dia
maluuuu;malu
tongolin;menongol
cabol;cabul
tot;entot
hidiyah;hidayah
bgi;bagi
sdri;sendiri
mimin;admin
skaligus;sekaligus
y;saya
cek2;cek-cek
mgk;mungkin
spti;seperti
